input_size,workload,delay_tolerance,v_left,rsu1_left,rsu2_left,rsu3_left,offload
637.121,1956.75,0.871264,41.0152,299.248,314.358,358.708,3
316.394,1255,0.109009,73.6629,488.028,86.716,362.646,1
168.303,1715.44,0.238267,94.4962,329.119,92.5679,165.954,1
335.333,1701.31,0.128071,19.0947,212.358,267.543,164.092,2
663.485,446.875,0.476431,123.636,465.119,182.988,385.415,1
988.03,524.125,0.375188,122.542,425.862,5.06173,245.431,1
145.636,169.812,0.968249,110.117,207.404,304.123,78.5385,2
711.758,1493.5,0.327863,65.3826,274.174,170.988,429.6,3
539.394,1487.69,0.928669,18.4205,421.211,175.716,381.662,1
863.455,923.25,0.276666,59.928,494.018,321.136,480.769,1
459.788,1804.19,0.772466,58.1288,228.358,335.753,443.446,3
647.121,792.75,0.355303,2.37121,248.413,144.543,232.338,1
446.424,1286.5,0.811359,92.9015,399.908,176.173,231.123,1
777.727,1487.62,0.739946,6.62879,462.927,153.951,30.0154,1
441.939,1536.31,0.571465,57.9356,322.853,74.642,122.815,1
894.667,593.438,0.232911,84.8068,435.413,404.296,481.738,3
592.455,1385.12,0.672378,20.553,265.431,340.556,310.831,2
64.8788,620.75,0.796692,91.4545,345.514,70.7531,2,1
64.3636,1397.88,0.657408,8.10606,222.716,211.519,16,1
281.848,894.312,0.853575,55.678,344.596,313.741,233.185,1
982.788,1019.56,0.116645,99.5795,453.321,136.877,41.7077,1
456.242,1062.44,0.216953,32.2992,434.771,317.235,187.123,1
270.182,1999.06,0.992969,36.2917,400.183,66.2469,97.7692,1
663.636,1698.25,0.369723,92.6402,235.22,254.889,279.954,3
322.485,2024.06,0.411252,89.2652,204.248,215.963,472.262,3
172.909,776.75,0.454979,82.5795,439.495,261.272,128.662,1
448.152,392.25,0.722669,80.3333,301.706,267.914,489.631,3
84.2424,172.375,0.595581,16.7424,252.018,262.84,191.385,2
1000.67,1703,0.902905,32.303,307.202,237.049,308.615,3
58.1818,480,0.307181,115.826,423.679,263.914,194.031,1
996.636,480,0.496728,89.947,489.945,175.901,10.4308,1
957.455,352.188,0.921308,114.727,462.826,278.716,392.508,1
297.182,295.125,0.948143,84.1023,431.486,334.21,10.4462,1
897.273,1184.62,0.683035,75.6326,242.899,314.049,125.385,2
53.697,1151.19,0.407407,104.299,276.33,155.407,272.369,1
497.636,573.25,0.440147,99.5303,294.872,402.407,210.446,2
580,501.5,0.155757,93.8939,366.752,155.605,341.738,1
861.273,1999.5,0.488186,53.2348,483.734,281.272,110.938,1
281.273,1056.88,0.737748,81.3523,464.229,212.123,198.646,1
141.364,1639.56,0.187893,56.678,376.128,336.42,458.169,3
760.273,1125.25,0.542186,54.6667,361.239,329.938,417.2,3
25.7879,233.625,0.720252,116.83,396.982,168.716,343.8,1
878.515,1594.44,0.122907,99.5455,380.349,245.062,119.508,1
198.545,911.188,0.994781,25.4053,468.514,43.1728,472.646,3
780.091,1207.88,0.698691,56.6212,257.45,292.049,285.954,2
49.1515,1996.31,0.576904,16.803,340.229,365.877,76.8,2
642.333,1955.5,0.124143,63.0227,317.239,299.432,322.846,3
585.485,984.688,0.549821,76.2159,407.349,402.42,194.462,1
266.394,325.188,0.871676,116.508,431.605,153.889,490.431,3
995.667,285.062,0.87662,8.01894,312.303,283.272,206.062,1
158.848,573.875,0.914991,27.4394,368.404,10.358,108.969,1
689.151,196.562,0.478024,16.0985,439.541,227.778,230.769,1
288.333,1187.06,0.955257,6.94318,328.128,148.309,112.831,1
268.818,433.75,0.391916,58.5568,291.495,223.481,309.338,3
147.152,925.688,0.680068,29.2992,465.908,69.358,374.277,1
348.576,1815.88,0.92963,86.7083,359.284,160.383,405.969,3
273.394,205.75,0.3962,78.7424,300.927,72.8025,367.108,3
605.606,760.312,0.395047,51.4091,273.119,15.8148,221.338,1
920.091,1201.31,0.526502,39.4053,417.899,49.9136,145.369,1
960.182,963.688,0.682128,48.9735,447.56,89.963,328.785,1
12.7879,847.75,0.911722,97.2538,448.514,351.444,124.769,1
321.364,95.125,0.316163,110.288,307.092,78.2099,96.7846,0
976.424,617.25,0.50777,40.447,246.844,278.531,170.938,2
749.636,461.438,0.95479,5.39773,307.156,216.802,463.615,3
798.091,617.812,0.319321,64.678,350.927,264.975,10.9385,1
559.061,1468.62,0.714072,56.6061,234.89,51.9012,473.431,3
681.667,1888.44,0.259911,104.561,227.101,64.7778,464.154,3
97.3333,310.812,0.335472,105.269,403.413,90.8765,177,1
723.788,826.812,0.879614,49.3977,309.835,226.407,450.877,3
747.515,1719.69,0.959322,107.659,328.367,267.926,318.554,1
115.333,1668,0.650514,98.5568,321.248,381.457,365.723,2
37.4848,1765.75,0.620191,1.64394,298.009,78.3704,321.262,3
44.0909,232.062,0.651119,15.3106,484.22,11.0864,220.585,1
141.03,1839.38,0.630079,85.3447,425.495,381.741,116.692,1
21.3636,1723.25,0.139772,9.72727,217.67,72.0123,119.215,1
880.939,1420.31,0.164986,45.9886,490.358,400.864,272.785,1
695.667,1221.06,0.258098,23.5265,326.706,223.247,38.7077,1
476.424,1186.88,0.120243,114.341,268.505,30.642,420.4,3
896.576,1935.75,0.25472,23.4205,269.972,148.728,430.031,3
962.394,1937,0.850554,124.568,350.716,174.593,11.5231,1
980,1915.44,0.770516,61.7045,424.899,121.506,108.985,1
810.515,153.812,0.460143,79.0985,443.395,300.247,400.723,1
217.242,1749.44,0.375188,104.144,332.119,404.765,7.69231,2
476.636,502.5,0.758898,108.375,262.229,90.4691,184.015,1
299.242,819.25,0.796582,121.614,434.605,299.012,183.185,1
425.121,1035.88,0.549684,73.7576,313.11,336.358,431.015,3
712.606,1874.31,0.732804,73.1288,397.229,71.4938,166.077,1
473.818,67.625,0.463027,54.8144,455.945,239.716,149.908,1
44.5152,1722.75,0.887936,28.4924,319.853,104.481,128.246,1
863.485,969.25,0.80419,107.364,460.119,25.1852,133.277,1
889.03,102.812,0.122275,58.2689,334.505,94.0617,349.246,3
986,363.625,0.428858,37.0606,447.174,366.691,61.4462,1
636.455,430.312,0.857146,15.0833,390.523,322.259,493.508,3
147.152,1506.12,0.6125,57.3295,318.991,246.099,457.831,3
572.727,1717.5,0.925318,75.2235,227.495,147.877,211.015,1
270.818,1461.88,0.329594,97.4924,275.569,121.716,422.431,3
675.636,416.688,0.807761,54.4962,438.046,188.852,53,1
25.1818,2063.06,0.407736,119.375,318.367,292.679,217.369,1
618.939,1483.25,0.746812,104.977,411.615,105.111,182.046,1
137.121,1446.06,0.272793,77.0455,242.046,123.049,134.646,1
189.182,66.9375,0.477007,61.9015,374.211,73.0123,405.631,3
439.303,1816.81,0.250435,16.2424,415.404,148.309,182.969,1
759.091,711.125,0.363762,47.3106,309.257,287.506,20.5077,1
471.848,484.062,0.339702,65.1288,345.156,186.938,89.7846,1
29.5758,652.188,0.490768,96.2311,268.743,110.42,492.831,3
70.7273,1856.5,0.32432,68.2538,433.945,334.42,122.415,1
551.151,2050.56,0.986596,46.6061,271.101,101.049,387.446,3
842.182,1060.06,0.237251,104.848,318.624,389.593,207.769,2
404.606,226,0.131175,65.375,386.908,51.9383,190.446,1
983.182,1447.31,0.644444,29.6742,402.771,140.667,375.523,1
454.091,441,0.732914,72.9432,411.229,311.519,389.231,1
235.394,270.5,0.862612,22.3523,270.202,106.383,3.78462,1
524.273,64,0.61673,52.0265,325.183,325.58,371.692,3
481.091,694.875,0.877911,35.125,292.55,304.975,404.831,3
47.4848,944.438,0.213987,123.792,344.028,61.0123,161.123,1
895.242,808,0.579897,124.985,418.615,287.395,163.785,1
358,1120.25,0.3948,18.8674,251.367,266.617,449.662,3
965.818,1416.94,0.27716,56.5682,354,30.0864,370.985,3
347.152,2016.94,0.133372,53.3523,424.294,357.099,426.246,3
366.394,1721.5,0.609946,37.678,229.275,69.3827,86.7692,1
529.97,739,0.446822,10.2803,340.881,393.148,456.723,3
56.3333,79.5625,0.425562,104.989,253.615,68.1481,187.462,0
287.03,1564.88,0.798477,22.5,281.697,280.235,37.8769,1
543.758,1720.19,0.632002,21.7235,255.578,264.951,468.538,3
352.364,1910.62,0.705777,105.799,213.101,231.642,99.3692,2
693.364,1469,0.895627,59.7386,313.761,141.802,87.7692,1
276.182,1208.81,0.844099,79.8523,361.44,68.4074,75.5538,1
958.151,685.438,0.798285,59.3826,372.771,379.049,339.846,2
947.97,255.875,0.186218,1.20076,472.073,187.988,333.523,1
515.455,1899.81,0.419767,118.477,347.734,6.07407,184.277,1
914.788,563.562,0.569021,115.246,458.771,156.333,379.154,1
130.182,1438.94,0.260955,55.5833,416.734,75.4444,154.262,1
552.879,1985.81,0.827097,79.0492,339.11,182.16,402.923,3
225.576,1350.81,0.873516,5.88636,298.587,105.753,27.1692,1
841.394,2014.31,0.88475,61.4356,357.78,214.704,116.092,1
26.7879,1526.56,0.311548,39.6136,221.624,238.642,338.769,3
866.121,1157.56,0.646504,120.943,395.917,305.568,422.646,3
166,1521,0.571108,44.2273,276.706,210.086,179.769,1
662.273,1412.31,0.576766,95.7652,470.202,212.074,364.908,1
712.576,1642.5,0.432868,118.591,258.642,394.926,348.492,2
614.758,194.688,0.509528,5.68182,217.284,264.84,433.938,3
989.485,45.6875,0.273809,113.826,296.798,70.1605,265.108,0
53.8182,1555.31,0.87846,97.1629,369.936,263.16,145.308,1
89.7879,2021.12,0.76354,58.5303,471.128,178.827,242.169,1
165.636,1990.81,0.208164,35.1098,212.303,39.1975,467.215,3
482.485,1352.38,0.310587,103.004,315.404,76.2469,37.1846,1
947.091,1347,0.257356,96.0758,333.67,72.642,10.0308,1
713.424,1133.19,0.174874,106.659,312.156,395.049,240.985,2
303.697,222,0.954048,18.697,459.514,133.309,100.969,1
442.242,1148.94,0.511286,109.773,268.541,297.062,452.2,3
906.788,1597.62,0.114063,103.795,476.661,401.543,91.4154,1
842.818,781.562,0.760463,76.0303,285.22,34.963,287.477,3
141.364,634.5,0.783261,95.8561,443.853,211.901,37.0923,1
769.394,1887.31,0.252303,22.947,409.872,328.025,202.708,1
535.727,839.438,0.693527,65.9167,489.624,83.8148,164.369,1
512,1213.44,0.737858,43.6932,478.706,170.333,108.554,1
116.636,1628.69,0.87423,68.7879,296.706,161.79,147.508,1
635.424,1859.81,0.414905,96.1818,446.413,353.185,317.769,1
81,1639.06,0.708798,64.0303,277.596,324.543,213.508,2
773.303,584.125,0.963387,55.9129,302.817,160.728,286.754,1
150.848,1723.38,0.277599,100.663,232.239,344.58,41.2,2
767.394,935,0.955806,32.5833,477.982,184.457,192.985,1
135.97,781.375,0.677541,20.947,298.128,98.3333,496.215,3
86.1818,821.438,0.758733,81.6061,330.917,333.617,306.769,2
909.182,1131.44,0.658947,48.4735,284.376,231.469,135.554,1
891.788,405.688,0.390432,55.2614,433.56,323.543,174.077,1
480.576,189.438,0.970693,26.5,396.367,42.9506,93.2462,1
759.97,1457.12,0.150731,89.9545,232.752,214.494,130.831,1
220.636,1544.19,0.353655,37.0795,344.358,274.148,206.923,1
281.303,1044.94,0.788644,116.057,409.431,192.037,107.6,1
38.6061,1716.69,0.873818,42.7727,443.881,284.988,500.6,3
625.939,1907.5,0.42309,3.82197,315.11,397.889,261.723,2
544.545,27.125,0.234724,40.3258,498.936,135.037,462,0
412,1417.94,0.282846,97.2273,406.202,2.4321,412.138,3
931.091,146.625,0.461049,105.784,376.239,288.099,147.246,1
721.455,1960.94,0.280895,25.5909,356.936,372.963,293.431,2
674.03,1603.94,0.69273,82.7121,466.725,153.617,88.3538,1
793.424,546.25,0.988903,13.1553,366.339,201.901,124.892,1
738.091,1025.12,0.781283,30.7008,230.587,319.531,3.38462,2
189.121,474,0.227638,94.125,248.156,394.469,486.508,3
471.848,1376.56,0.528315,68.7424,237.037,385.778,342.246,2
881.061,827.75,0.83899,87.9242,211.761,106.963,493.492,3
772.151,1884.31,0.557073,110.03,483.862,84.7037,114.692,1
237.121,467.75,0.754585,86.4811,327.853,117.494,318.785,1
765.727,1717.25,0.457506,108.739,408.018,47.4691,74.5231,1
126.485,972.375,0.827647,88.1553,482.651,179.012,501.954,3
574.242,346.5,0.195914,74.0947,286.587,193.765,169.446,1
279.848,143.25,0.642741,19.5795,219.376,63.8765,60.6615,1
388.909,1044.5,0.429106,99.9356,420.587,194.852,330.754,1
138.152,1482.5,0.669796,21.2045,270.706,254.444,462.554,3
477.818,436.375,0.514197,37.4545,206.128,391.667,65.6462,2
160.424,538,0.777383,3.68561,371.037,256.889,334.046,1
295.424,1287.06,0.654772,52.2841,399.651,336.247,381.215,1
14.9091,148.625,0.871511,88.6023,262.89,202.062,62.3231,1
324.667,716.688,0.673366,80.0114,460.459,215.543,478.092,3
511.394,1149.56,0.874917,71.7273,289.917,69.5432,158.923,1
848.879,1267.88,0.951714,41.9318,289.881,303.099,304.569,3
740.97,89.5,0.413092,18.9129,374.083,175.914,442.554,3
291.364,1112.62,0.728794,76.3258,354.56,56.679,400.938,3
260.697,1959.88,0.822318,8.63258,383.22,95.5556,41,1
228.333,584.125,0.197617,40.5265,494.523,98.358,42.6154,1
767.727,1664.19,0.845061,14.1591,385.872,59.0247,228.862,1
846.455,1799.5,0.69122,21.4508,422.294,199.679,235.277,1
219.636,1619.19,0.329209,49.5114,492.725,379.543,18.3538,1
901.849,1695.38,0.398425,116.943,409.844,149.247,471.554,3
656.758,784.062,0.595938,82.6591,284.761,120.778,131.308,1
845.97,298.938,0.600443,108.496,359.688,266.235,339.908,1
836.849,2029.81,0.492224,88.3826,232.963,265.272,228.446,2
336.97,2027.25,0.968194,18.3485,266.45,346.469,440.277,3
896.091,1816.56,0.193387,116.617,299.743,56.1605,486.754,3
717.97,1118.69,0.711737,61.4811,264.945,277.049,86.0308,2
76.7576,898.5,0.971929,3.98864,231.321,266.691,467.138,3
701.424,667.875,0.321793,116.64,265.018,297.123,362.185,3
833.485,25.5,0.397107,93.8068,338.661,47.642,313.692,0
806.242,1073,0.89461,81.7538,375.431,95.5802,440.938,3
358.758,928.062,0.88236,109.75,361.872,298.012,251.585,1
814.727,1223.31,0.279989,120.689,313.22,386.543,261.815,2
712.879,1130.88,0.444679,31.0341,326.349,208.975,399.938,3
831.212,1482.12,0.144166,56.7311,203.376,85.4568,502.123,3
725.818,833.75,0.692923,114.223,384.174,331.16,395.723,3
139.394,594.125,0.687017,22.75,363.954,8.46914,341.892,1
855.849,165.062,0.90969,61.7159,242.275,28.9012,340.969,3
467.848,148.688,0.705036,9.82197,377.193,149.654,80.9231,1
60.0606,950.938,0.642879,67.5568,281.505,244.037,48.5077,1
910.455,535.062,0.440532,51.9394,452.899,245.148,38.0923,1
967.364,1544.56,0.372497,16.9583,458.706,242.21,115.246,1
47.697,2021.56,0.607447,53.8977,274.073,387.889,269.646,2
422.455,907.312,0.168227,66.6705,298.431,73.321,285.738,1
459.273,1039,0.434434,7.05682,435.468,74.7037,98.6308,1
558.606,486.188,0.303446,123.754,275.165,250.728,147.277,1
392.121,1443.81,0.716297,96.4924,462.523,135.815,479.892,3
586.758,1646.81,0.141282,84.6174,377.119,267.383,140.185,1
542.121,121.312,0.313718,78.9167,325.037,264.901,126.615,1
486.818,1542.94,0.158504,89.572,361.037,398.926,362.385,2
783.788,1520.88,0.192425,41.5,335,240.617,17.8923,1
620.424,1565.5,0.722532,48.1439,495.56,320.914,193.4,1
905.121,2051.38,0.742198,59.0492,330.486,389.642,155.4,2
647.394,532.062,0.687512,48.7955,388.092,203.988,249.692,1
40.8485,976.25,0.166332,115.004,249.835,77.4691,164.031,1
631.788,1095.88,0.225028,39.3902,404.523,241.358,118.138,1
917.394,1264.88,0.38244,37.8977,292.569,295.383,207.523,2
769.091,1535.19,0.154823,19.6894,270.624,226.877,437.508,3
694.667,1743.81,0.324677,73.9886,366.284,229.642,202.862,1
634.303,1402.56,0.391531,1.10227,266.358,397.296,253.738,2
335.03,1347.88,0.188553,110.03,322.697,354.062,357.723,3
340.303,1386.12,0.572674,106.087,202.991,302.407,235.754,2
382.636,431.688,0.108872,28.6629,381.55,314.074,6.78462,1
534.758,1286.56,0.98385,62.447,391.972,153.012,156.769,1
189.424,1508.62,0.611045,79.3371,239.312,97.679,291.769,3
645.394,1038.75,0.546608,78.4924,396.578,196.679,219.6,1
245.758,522.25,0.926746,23.5189,470.156,43.3457,99,1
246.03,488.875,0.784716,120.117,376.541,144.136,176.415,1
820.636,1737.5,0.714539,33.1174,206.679,89.3704,377.831,3
967.424,807.562,0.834019,72.2614,215.505,264.407,275.938,3
541.758,252,0.375958,114.951,419.725,287.519,204.215,1
916.394,1203.06,0.512384,40.0038,339.541,103.185,5.12308,1
35.1515,31.3125,0.107746,47.2614,471.844,153.481,217.015,0
872.697,2006.94,0.114502,44.5606,318.56,83.642,170.585,1
354.212,1227.94,0.980773,76.4242,269.743,90.7037,319.862,3
325.606,1650.75,0.447563,107.163,361.156,326,253.969,1
324.091,112.938,0.986267,15.6136,500.367,32.9877,218.815,1
633.636,655.75,0.7734,100.201,291.817,326.728,115.354,2
404.667,915.062,0.140431,96.6894,349.174,160.247,275,1
320.364,153.812,0.872774,110.394,219.128,306.494,499.246,3
318.333,975.75,0.387301,99.8864,216.358,46.8642,151.754,1
782.576,1917,0.397189,72.7121,489.936,181.395,327.015,1
30.9394,1764.75,0.890957,112.61,412.156,287.691,297.446,1
472.667,1510.44,0.824323,40.447,328.312,203.025,353.631,3
269.242,1019.12,0.557622,62.5227,340.716,129.309,214.585,1
797.03,2026,0.481951,98.4167,269.963,30.8148,82,1
247.636,118.562,0.278506,10.875,276.826,6.24691,68.6,1
798.697,1099.06,0.55688,43.4621,275.055,282.247,33.3846,2
702.788,392.75,0.533369,88.9962,324.303,82.5309,91.1692,1
887.636,1194.25,0.85385,73.3977,433.991,88.2716,300.077,1
972.727,1992.44,0.346101,77.928,464.147,57.2099,298.708,1
630.182,2006.31,0.520267,2.06439,357.945,362.765,421.338,3
204.636,1548.75,0.432704,120.663,489.927,234.222,21.6308,1
931.667,385.625,0.502496,103.428,260.404,245.481,78.5077,1
364.364,204.438,0.332176,84.572,431.743,215.556,269.431,1
588.667,1691.12,0.449046,109.424,422.853,68.0741,105.231,1
280.364,1857.19,0.460994,56.4432,266.147,72.1481,361.308,3
523.303,396.062,0.3266,85.0758,247.11,325.432,283.877,2
239.455,910.875,0.682073,108.284,415.229,351.852,417.308,3
712,1432.69,0.364339,77.9811,201.165,292.938,481.846,3
409.939,814.625,0.928285,78.6667,329.22,115.16,131.4,1
141.273,1189.88,0.592175,31.5076,345.404,335.185,86.3077,1
693.727,1246.38,0.871786,114.295,263.257,280.593,380.4,3
691.091,1698.38,0.788479,85.8826,249.229,219.926,274.8,3
177.212,1363.81,0.579293,110.015,235.716,143.395,106.662,1
454.364,1491.69,0.303171,25.9545,298.101,314.222,47.1692,2
804.03,2035.81,0.944298,33.1667,377.018,13,69.4923,1
230.515,1863.81,0.371645,109.807,482.789,404.086,134.538,1
530.606,1229.69,0.436247,15.2348,263.798,260.111,357.908,3
758.545,682.188,0.284851,51.0455,278.431,182.704,165.585,1
447.242,282.25,0.45844,86.6174,244.679,9.87654,235.231,1
526.303,189,0.831739,2.56818,214.587,193.901,180.862,1
202.788,895.438,0.553749,51.072,248.349,335.506,314.923,2
516.576,950.438,0.97929,66.3712,326.321,398.852,445.677,3
257.727,343.125,0.250215,120.364,282.679,220.802,10.5692,1
903.182,194.062,0.30589,67.1477,296.303,6.93827,65.8154,1
198.576,1594.62,0.486346,75,219.761,259.494,341.923,3
29.2424,1509.81,0.353682,86.0758,386.018,189.099,455.292,3
715.727,785.938,0.706656,54.0568,370.211,337.012,502.6,3
540.485,907.438,0.315284,17.2045,450.523,368.975,45.0615,1
463.091,1510.94,0.768758,119.284,441.523,194.63,288.123,1
237.394,1261.69,0.921088,8.17424,343.605,228.185,397.446,3
367.152,1980.56,0.151967,82.9924,488.073,44.1975,318.462,1
322.394,1705.75,0.241893,47.6061,210.165,144.16,32.5846,1
645.758,426.312,0.908371,96.178,245.321,19.7901,54.9846,1
662.364,1716,0.673531,64.5038,365.275,60.1728,164.908,1
125.03,1659.12,0.54669,10.9432,455.569,84.4444,165.508,1
840.424,1265.88,0.91804,43.1591,459.211,24.2346,167.862,1
988.636,529,0.190228,123.769,473.578,392.099,163.231,1
449.424,1974.75,0.327808,29.4508,333.587,374,411.631,3
744.424,972,0.698663,72.4773,268.743,81.8025,393.662,3
519.879,869.125,0.228159,28.5492,464.009,354.037,374.692,1
359.818,1333.56,0.394827,107.042,210.202,168.037,303.615,3
528.121,116.125,0.78359,42.2424,486.349,20.0123,95.0462,1
421.485,559.75,0.387164,17.553,438.578,8.80247,50.1846,1
821.273,1816.75,0.523618,121.792,315.872,170.753,424.308,3
368.879,1000.56,0.528013,63.7083,425.615,297.086,408.092,1
932.212,978.812,0.694186,63.9318,251.697,308.185,67.9538,2
460.424,977.188,0.999011,57.9432,224.826,34.6667,471.615,3
643.364,1054.5,0.849318,115.337,367.395,288.593,502.446,3
669.606,2009.12,0.663561,77.678,406.881,29.1852,208.708,1
229.333,1673.56,0.449706,79.0758,390,1.93827,116.831,1
141.727,1325.5,0.877526,75.9735,379.202,373.679,305.446,1
779.818,1388.31,0.983245,50.1098,368.174,315.21,264.138,1
344.818,700.438,0.498349,4.23106,200.248,403.914,308.954,2
39.8788,1927.31,0.872912,49.2197,325.844,20.963,33.0923,1
651.545,188,0.683776,74.4508,477.349,324.395,110.338,1
556.273,1476.31,0.188525,44.8523,404.229,118.222,409.092,3
408.061,1653.88,0.719922,44.1174,348.101,53.3086,230.185,1
743.121,347.5,0.227116,114.553,290,53.0864,180.185,1
198.152,918.312,0.770489,5.99621,459.541,140.58,402.646,1
549.455,412.875,0.577837,1.3447,334.367,78.037,224.092,1
471.788,1599.31,0.886508,76.3902,423.45,309.309,491.185,3
286.485,1181.56,0.33723,50.9242,455.101,20.8642,44.2923,1
175.424,800.25,0.4683,98.875,367.605,70.5062,206.969,1
465.364,520.75,0.690259,54.3333,428.972,127.049,166.631,1
504.485,208.688,0.119556,108.333,269.963,197.457,150.554,1
69.6364,853.312,0.222694,92.0985,371.982,334.333,313.785,1
527.636,943.875,0.184625,65.7121,382.55,205.198,144,1
120.667,158.812,0.880822,28.5038,205.119,2.53086,415.554,3
725.879,904.125,0.609095,104.822,340.211,330.63,398.585,3
30.0303,1378.81,0.6434,14.4053,209.752,121.148,421.677,3
203.333,53.6875,0.915018,49.9167,260.872,326.741,477.046,3
548.182,1122.19,0.722449,12.5417,267.881,308.481,429.938,3
633.455,1682.19,0.430836,65.8712,230.083,330.148,83.1846,2
803.455,1510.31,0.657656,83.1326,492.743,311.259,120.954,1
712.151,740.125,0.26686,82.6629,273.982,161.111,166.708,1
261.545,1962.31,0.120408,64.3447,243.55,341.259,20.4154,2
138.818,529.625,0.876757,104.227,219.523,292.16,309.954,3
50.7576,424.375,0.593136,13.0303,334.376,248.815,51.7692,1
869.03,1752.12,0.295892,36.3333,343.936,35.5926,462.862,3
580.879,1802.88,0.539274,40.3561,320.312,365.123,420.338,3
828.394,1095.38,0.397244,26.4545,408.211,231.457,472.262,3
824.455,1665.75,0.629914,38.8409,480.917,372.309,292.031,1
599.364,704.75,0.154878,74.4583,381.661,322.494,430.492,3
159.697,315.75,0.942347,45.5,383.982,246.901,315.862,1
397.303,186.625,0.356511,31.1212,452.514,334.247,330.738,1
199.97,963.562,0.396228,124.038,342.881,40.1111,420.462,3
896.273,1159.44,0.55504,108.697,324.477,73.8272,37.5231,1
558.788,2049.19,0.143507,14.2879,356.174,113.358,446.108,3
116.061,96.9375,1,41.6326,204.339,402,76.3077,2
869.303,927.062,0.476678,38.4015,437.56,210.617,83.7385,1
923.242,1527.69,0.239723,124.64,474.339,105.938,217.708,1
28.5758,531.5,0.172018,36.6098,231.908,199.543,137.215,1
505.788,710,0.234422,32.0758,349.927,104.21,393.154,3
20.6364,1421.75,0.432923,56.1894,322.239,54.1481,67.7077,1
205.485,615.375,0.671032,11.1591,332.908,16.0494,413.2,3
324,1543.44,0.749092,62.9735,417.798,292.469,390.215,1
116.273,51.75,0.620493,104.769,343.092,40.321,1.15385,0
187.152,441.5,0.536912,40.7576,435.55,37.642,343.969,1
945.758,1374.69,0.928257,10.3333,442.872,53.1852,149.785,1
735.242,1589.81,0.177456,106.189,266.523,388.543,415.062,3
386.182,1242.5,0.277902,71.3636,246.523,374.469,256.062,2
360.879,1380.25,0.916529,18.6061,331.248,154.728,132.846,1
534.273,575.812,0.819572,50.2992,321.156,157.457,108.2,1
186,1443.88,0.843495,70.6932,218.743,137.309,214.385,1
697.545,1272.62,0.102857,26.9205,468.734,279.148,171.138,1
139.061,80.3125,0.813831,8.72348,218.963,178.617,487,3
70.4545,1263.5,0.5056,71.0795,300.257,212.901,170.677,1
449.061,1515,0.431385,78.3864,337.587,307.914,142.262,1
505.273,514.938,0.298337,55.0833,298.541,210.815,9.18462,1
22.7879,808.312,0.65576,100.163,400.505,319.432,321.569,1
100.212,892.562,0.235932,102.148,363.284,300.247,492.215,3
549.273,1568.88,0.350386,49.7083,346.229,210.148,463.215,3
597.727,204.375,0.616428,57.4508,347.642,140,337.246,1
846.909,1766.94,0.637385,33.1212,405.569,263.469,5.87692,1
